Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F,Y2021,Y2021F,Y2022,Y2022F,Y2023,Y2023F,Y2024,Y2024F
"2","'004","Afghanistan","6975","Mangroves","5013","Area from WorldCover","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000","E","0.000000","E",,,,,,
"2","'004","Afghanistan","6976","Shrub-covered areas","5006","Area from CGLS","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"601.280000","E","600.970000","E","600.760000","E","600.460000","E","599.830000","E",,,,,,,,,,
"2","'004","Afghanistan","6976","Shrub-covered areas","5007","Area from MODIS","1000 ha",,,,,,,,,,,,,,,,,,,"6341.490000","E","5247.300000","E","5082.900000","E","4823.440000","E","4952.410000","E","4963.780000","E","4915.470000","E","5027.380000","E","4889.380000","E","4874.630000","E","5254.900000","E","5546.080000","E","5775.910000","E","6195.180000","E","6220.880000","E","6484.950000","E","6833.570000","E","7266.620000","E","7032.320000","E","7534.880000","E","7687.710000","E","7371.080000","E","6952.810000","E","7189.000000","E"
"2","'004","Afghanistan","6976","Shrub-covered areas","5008","Area from CCI_LC","1000 ha","3351.750000","E","3351.750000","E","3351.730000","E","3313.450000","E","3308.030000","E","3292.680000","E","3287.720000","E","3255.950000","E","3212.330000","E","3165.220000","E","3151.010000","E","3138.720000","E","3130.930000","E","3128.910000","E","3125.160000","E","3123.560000","E","3123.380000","E","3125.490000","E","3124.590000","E","3124.330000","E","3124.280000","E","3123.510000","E","3123.150000","E","3123.050000","E","3122.750000","E","3122.360000","E","3122.130000","E","3124.050000","E","3124.320000","E","3123.560000","E","3122.810000","E",,,,
"2","'004","Afghanistan","6976","Shrub-covered areas","5013","Area from WorldCover","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2379.710000","E","1508.490000","E",,,,,,
"2","'004","Afghanistan","6977","Shrubs and/or herbaceous vegetation, aquatic or regularly flooded","5006","Area from CGLS","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.820000","E","6.300000","E","9.030000","E","10.510000","E","12.560000","E",,,,,,,,,,
"2","'004","Afghanistan","6977","Shrubs and/or herbaceous vegetation, aquatic or regularly flooded","5007","Area from MODIS","1000 ha",,,,,,,,,,,,,,,,,,,"30.030000","E","3.090000","E","0.940000","E","0.880000","E","0.670000","E","0.580000","E","0.320000","E","0.260000","E","0.430000","E","1.160000","E","2.470000","E","3.760000","E","2.340000","E","1.870000","E","1.420000","E","3.260000","E","4.230000","E","4.230000","E","2.700000","E","3.050000","E","4.810000","E","7.280000","E","9.890000","E","7.470000","E"
"2","'004","Afghanistan","6977","Shrubs and/or herbaceous vegetation, aquatic or regularly flooded","5008","Area from CCI_LC","1000 ha","5.880000","E","5.880000","E","5.880000","E","5.900000","E","5.960000","E","6.050000","E","6.120000","E","6.130000","E","6.130000","E","6.520000","E","7.010000","E","7.030000","E","7.100000","E","7.100000","E","7.100000","E","7.100000","E","7.100000","E","7.100000","E","7.100000","E","7.100000","E","7.100000","E","7.100000","E","7.100000","E","7.100000","E","7.100000","E","7.100000","E","7.100000","E","7.100000","E","7.100000","E","7.100000","E","7.100000","E",,,,
"2","'004","Afghanistan","6977","Shrubs and/or herbaceous vegetation, aquatic or regularly flooded","5013","Area from WorldCover","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"54.590000","E","15.870000","E",,,,,,
"2","'004","Afghanistan","6978","Sparsely natural vegetated areas","5006","Area from CGLS","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"O",,"O",,"O",,"O",,"O",,,,,,,,,,
"2","'004","Afghanistan","6978","Sparsely natural vegetated areas","5007","Area from MODIS","1000 ha",,,,,,,,,,,,,,,,,,,,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O"
"2","'004","Afghanistan","6978","Sparsely natural vegetated areas","5008","Area from CCI_LC","1000 ha","4270.980000","E","4270.950000","E","4270.950000","E","4223.680000","E","4216.570000","E","4212.630000","E","4197.570000","E","4188.030000","E","4061.020000","E","4029.680000","E","4032.810000","E","4022.970000","E","4064.970000","E","4059.380000","E","4059.540000","E","4059.920000","E","4059.730000","E","4062.950000","E","4057.130000","E","4061.270000","E","4060.640000","E","4059.960000","E","4067.990000","E","4067.920000","E","4088.080000","E","4104.700000","E","4194.630000","E","4225.270000","E","4251.870000","E","4270.000000","E","4443.410000","E",,,,
"2","'004","Afghanistan","6978","Sparsely natural vegetated areas","5013","Area from WorldCover","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"O",,"O",,,,,,
"2","'004","Afghanistan","6979","Terrestrial barren land","5006","Area from CGLS","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35597.800000","E","35566.100000","E","35530.020000","E","35394.050000","E","35309.500000","E",,,,,,,,,,
"2","'004","Afghanistan","6979","Terrestrial barren land","5007","Area from MODIS","1000 ha",,,,,,,,,,,,,,,,,,,"36359.480000","E","34441.990000","E","32945.320000","E","32763.580000","E","31900.560000","E","31805.540000","E","31240.530000","E","31450.980000","E","30635.150000","E","30412.820000","E","30507.010000","E","30579.650000","E","30297.670000","E","30062.500000","E","30076.180000","E","29917.900000","E","29978.230000","E","30818.780000","E","30402.680000","E","29662.000000","E","30314.040000","E","31015.380000","E","31248.970000","E","30947.220000","E"
